상호명,영업소도로명소재지,영업소지번소재지,전화번호,데이터 기준일자
산울,서울특별시 송파구 성내천로 223  (마천동),서울특별시 송파구 마천동 158-2번지 ,,2019-02-22
방방,서울특별시 송파구 올림픽로32길 9  (방이동),서울특별시 송파구 방이동 36-3번지 ,,2019-02-22
차차차,서울특별시 송파구 오금로11길 23-8 (방이동),서울특별시 송파구 방이동 38-11번지 ,,2019-02-22
영상,서울특별시 송파구 풍성로25길 36-1 (풍납동),서울특별시 송파구 풍납동 477-6번지 ,,2019-02-22
힐링노래연습장,서울특별시 송파구 송이로31길 4-10 (문정동),서울특별시 송파구 문정동 116-8번지 ,,2019-02-22
찬찬찬노래연습장,서울특별시 송파구 마천로 24 (방이동),서울특별시 송파구 방이동 213-1번지 ,02-424-1422,2019-02-22
써니 노래연습장,서울특별시 송파구 올림픽로47길 15 (풍납동),서울특별시 송파구 풍납동 400-0번지 ,,2019-02-22
엔젤노래연습장,"서울특별시 송파구 마천로 192, 지층 (오금동)",서울특별시 송파구 오금동 131-2번지 지층 ,02-400-3144,2019-02-22
MBC,서울특별시 송파구 문정로4길 34 (문정동),서울특별시 송파구 문정동 68-10번지 ,,2019-02-22
윙크노래연습장,서울특별시 송파구 새말로8길 30 (문정동),서울특별시 송파구 문정동 75-9번지 ,,2019-02-22
히트노래연습장,"서울특별시 송파구 문정로4길 28, 지1층 (문정동, 삼중빌딩)",서울특별시 송파구 문정동 67-9번지 ,,2019-02-22
산성노래연습장,"서울특별시 송파구 성내천로 260, 지층 (마천동)",서울특별시 송파구 마천동 203-1번지 지층 ,408-8200,2019-02-22
동네,서울특별시 송파구 풍성로26길 56  (풍납동),서울특별시 송파구 풍납동 404-0번지 ,,2019-02-22
여기는,서울특별시 송파구 풍성로20길 9 (풍납동),서울특별시 송파구 풍납동 231-47번지 ,,2019-02-22
삐삐네 노래연습장,"서울특별시 송파구 오금로36길 18-1, 지층 (가락동)",서울특별시 송파구 가락동 19-1번지 지층 ,02-406-5205,2019-02-22
호수 노래연습장,"서울특별시 송파구 석촌호수로 290, 지1층 (송파동, 성우빌딩)",서울특별시 송파구 송파동 58-18번지 ,,2019-02-22
킹,서울특별시 송파구 마천로 184  (오금동),서울특별시 송파구 오금동 130-8번지 ,,2019-02-22
당신의 노래연습장,서울특별시 송파구 성내천로63길 6 (거여동),서울특별시 송파구 거여동 577번지 ,02-402-0108,2019-02-22
올레노래연습장,서울특별시 송파구 가락로42길 15 (방이동),서울특별시 송파구 방이동 166-19번지 ,,2019-02-22
탈렌트,서울특별시 송파구 위례성대로20길 10  (오금동),서울특별시 송파구 오금동 1-10번지 ,,2019-02-22
KBS노래연습장,서울특별시 송파구 마천로51길 22 (마천동),서울특별시 송파구 마천동 178-85번지 ,,2019-02-22
K2,서울특별시 송파구 마천로8길 23  (오금동),서울특별시 송파구 오금동 40-19번지 ,,2019-02-22
청춘,"서울특별시 송파구 풍성로25길 13, 지층 (풍납동)",서울특별시 송파구 풍납동 155-23번지 지층 ,,2019-02-22
탤런트,서울특별시 송파구 새말로 144  (문정동),서울특별시 송파구 문정동 99-12번지 ,,2019-02-22
빙고,"서울특별시 송파구 마천로 282-1, 지층 (거여동)",서울특별시 송파구 거여동 184-12번지 지층 ,443-7781,2019-02-22
베스트,서울특별시 송파구 백제고분로48길 41 (방이동),서울특별시 송파구 방이동 137-8번지 ,,2019-02-22
우리노래연습장,"서울특별시 송파구 마천로 139, 2층 (오금동)",서울특별시 송파구 오금동 78-3번지 2층 ,02-409-6468,2019-02-22
민들래노래연습장,서울특별시 송파구 오금로36길 69-14 (가락동),서울특별시 송파구 가락동 49-10번지 ,02-400-6341,2019-02-22
준노래연습장,서울특별시 송파구 오금로11길 30 (방이동),서울특별시 송파구 방이동 59-3번지 ,,2019-02-22
신바람 노래연습장,"서울특별시 송파구 풍성로25길 25-1, 지층 (풍납동)",서울특별시 송파구 풍납동 153-7번지 지층 ,,2019-02-22
소리사랑,서울특별시 송파구 토성로 34-1  (풍납동),서울특별시 송파구 풍납동 257-92번지 ,,2019-02-22
우창 노래연습장,"서울특별시 송파구 동남로24길 13, 지1층 (오금동)",서울특별시 송파구 오금동 155-15번지 ,,2019-02-22
투투,서울특별시 송파구 송이로17길 29 (가락동),서울특별시 송파구 가락동 30-6번지 ,,2019-02-22
별 노래연습장,"서울특별시 송파구 거마로20길 18, 지1층 (마천동)",서울특별시 송파구 마천동 125-23번지 ,,2019-02-22
챔프,서울특별시 송파구 백제고분로 454  (방이동),서울특별시 송파구 방이동 110-2번지 ,,2019-02-22
이브노래연습장,서울특별시 송파구 거마로 16 (거여동),서울특별시 송파구 거여동 42-17번지 ,02-403-6568,2019-02-22
