업종,상호명,영업소지번소재지,전화번호
노래연습장업,아싸,서울특별시 용산구 한강대로 55 (한강로3가),02-797-0664
노래연습장업,필하모니,서울특별시 용산구 한강대로80길 11-49 (남영동),02-795-5418
노래연습장업,신바람,"서울특별시 용산구 보광로24길 12 (보광동, 보광회관)",02-790-8707
노래연습장업,드림21,서울특별시 용산구 청파로 391 (서계동),02-713-2727
노래연습장업,용산,서울특별시 용산구 한강대로15길 9 (한강로3가),
노래연습장업,신세계,서울특별시 용산구 새창로 119 (용문동),02-707-0999
노래연습장업,무지개,서울특별시 용산구 후암로 35-1 (후암동),02-755-2305
노래연습장업,오디션,서울특별시 용산구 보광로 51 (보광동),02-796-3312
노래연습장업,피터팬,서울특별시 용산구 한강대로104길 36 (동자동),
노래연습장업,미소노래연습장,"서울특별시 용산구 한강대로 282 (남영동, 신한은행)",
노래연습장업,연출,서울특별시 용산구 한강대로104길 80 (후암동),02-774-4487
노래연습장업,자기연출,서울특별시 용산구 신흥로36길 8 (용산동2가),02-756-5017
노래연습장업,히트노래연습장,서울특별시 용산구 청파로47길 41 (청파동3가),02-704-6779
노래연습장업,썸,서울특별시 용산구 대사관로30길 4 (한남동),02-794-6117
노래연습장업,왕십리,"서울특별시 용산구 우사단로2길 1, 지층 (보광동)",
노래연습장업,퀸,서울특별시 용산구 청파로45길 37 (청파동2가),02-715-2291
노래연습장업,민들레,서울특별시 용산구 한강대로62나길 2 (한강로1가),
노래연습장업,딩기딩기,"서울특별시 용산구 청파로47길 42-1 (청파동2가, 지상3층)",02-717-0968
노래연습장업,유랑,"서울특별시 용산구 한강대로15길 8-3, 지층 (한강로3가)",
노래연습장업,청춘,서울특별시 용산구 한강대로 128 (한강로2가),02-795-5994
노래연습장업,월드노래연습장,"서울특별시 용산구 보광로 46, 1층 109호 (보광동)",02-792-7055
노래연습장업,위아더월드,서울특별시 용산구 한강대로 288-3 (남영동),02-792-9690
노래연습장업,25시 그리스,"서울특별시 용산구 한남대로21길 33, 3층 (한남동)",02-794-7937
노래연습장업,하트,"서울특별시 용산구 원효로 177-2 (원효로2가, 지층)",
노래연습장업,산울림,서울특별시 용산구 새창로 131-6 (원효로2가),02-3273-8531
노래연습장업,ReeYa,"서울특별시 용산구 이촌로 280, 지층 2,3호 (이촌동, 명지상가)",02-795-9777
노래연습장업,노래천국,서울특별시 용산구 녹사평대로 236 (이태원동),02-749-0435
노래연습장업,갬블러,서울특별시 용산구 한강대로 278 (남영동),02-794-0062
노래연습장업,베토벤,서울특별시 용산구 원효로41길 21 (원효로3가),02-712-4635
노래연습장업,청파,"서울특별시 용산구 청파로 333 (청파동1가, 홍신빌딩)",02-711-8959
노래연습장업,나이스,서울특별시 용산구 보광로60길 22 (이태원동),02)790-6268
노래연습장업,제일,"서울특별시 용산구 청파로 337, 지층 (서계동)",02-701-5126
노래연습장업,짝,"서울특별시 용산구 원효로41길 18, 지층 (원효로3가)",02-703-5225
노래연습장업,진성,"서울특별시 용산구 후암로 83, 2층 (동자동)",02-318-3479
노래연습장업,하모니,서울특별시 용산구 이촌로75길 12 (이촌동),02-793-0393
노래연습장업,열창,서울특별시 용산구 새창로14길 22 (용문동),02-719-7080
노래연습장업,스타,서울특별시 용산구 대사관로31길 12 (한남동),02-792-5020
노래연습장업,음악세상,"서울특별시 용산구 원효로93길 22, 지층동 (원효로1가)",02-714-6029
노래연습장업,파랑새노래연습장,서울특별시 용산구 청파로 285 (청파동2가),02-718-1046
노래연습장업,노래마을,서울특별시 용산구 한강대로 373 (동자동),02-3275-1062
노래연습장업,월드컵,서울특별시 용산구 한강대로104길 51 (동자동),
노래연습장업,짱,서울특별시 용산구 효창원로42길 16 (용문동),02-719-1634
노래연습장업,환타지,서울특별시 용산구 한강대로 180 (한강로1가),02-797-7812
노래연습장업,즐거운,"서울특별시 용산구 한강대로 258 (남영동, 지상2층)",02-749-1680
노래연습장업,뮤즈노래연습장,"서울특별시 용산구 신흥로12길 1 (용산동2가, 종점약국)",02-796-6382
노래연습장업,그냥갈수없잖아,서울특별시 용산구 한강대로 279 (갈월동),02-713-1422
노래연습장업,카니발,서울특별시 용산구 원효로 220 (원효로2가),02-713-7400
노래연습장업,데몰리션,서울특별시 용산구 신흥로 94 (용산동2가),02-774-5750
노래연습장업,한강,서울특별시 용산구 대사관로30길 17 (한남동),02-797-2138
노래연습장업,현대,"서울특별시 용산구 원효로 75, 지1층 (원효로4가)",02-716-5241
노래연습장업,HOLLYWOOD,"서울특별시 용산구 만리재로 134, 지층 (서계동)",02-704-8923
노래연습장업,꼬끼오,"서울특별시 용산구 대사관로 56, 지층 (한남동)",02-797-2445
노래연습장업,라이브,서울특별시 용산구 보광로 123 (이태원동),02-797-3402
노래연습장업,세븐,서울특별시 용산구 효창원로 114 (용문동),
노래연습장업,데코,서울특별시 용산구 한강대로62길 23 (한강로1가),02-793-5874
노래연습장업,준,서울특별시 용산구 새창로45길 11 (신계동),02-715-8420
노래연습장업,스마일,"서울특별시 용산구 효창원로 93, 지층 (용문동)",02-713-3204
노래연습장업,전원,서울특별시 용산구 독서당로 29-1 (한남동),02-794-7900
노래연습장업,락 노래연습장,서울특별시 용산구 한강대로87길 5 (갈월동),
노래연습장업,왔다 노래연습장,"서울특별시 용산구 대사관로24길 27, 지층 (한남동)",02-797-2445
노래연습장업,엠노래연습장,서울특별시 용산구 후암로 99-1 (동자동),
노래연습장업,로데오노래연습장,서울특별시 용산구 대사관로 73 (한남동),
노래연습장업,뮤,"서울특별시 용산구 대사관로 72, 지7,8호 (한남동)",02-749-9054
노래연습장업,별노래연습장,"서울특별시 용산구 한강대로 289, 지층 (갈월동)",
노래연습장업,한강노래연습장,서울특별시 용산구 한강대로62길 11 (한강로1가),02-794-4984
노래연습장업,발리노래연습장,"서울특별시 용산구 새창로 213-17 (한강로2가, 성광빌딩)",
노래연습장업,SM브라보 노래연습장,서울특별시 용산구 후암로 32 (후암동),02-774-0995
노래연습장업,에떼 노래연습장,"서울특별시 용산구 한강대로84길 9, 2층 (남영동)",
노래연습장업,궁노래연습장,"서울특별시 용산구 한강대로 399, 2층 (동자동)",02-707-2585
노래연습장업,보스노래연습장,서울특별시 용산구 보광로59길 14 (이태원동),02-3785-0045
노래연습장업,싸이노래연습장,서울특별시 용산구 회나무로 25 (이태원동),
노래연습장업,에이스노래연습장,"서울특별시 용산구 새창로45길 19 (신계동, 지하1층)",02-714-7718
노래연습장업,테마노래연습장,"서울특별시 용산구 한강대로40길 14, 지하층 102호,103호 (한강로2가)",02-798-5860
